w,b,b,b,b,b,b,b,,,c,c,,,b,b,b,b,b,b,b,b,b,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
w,,,,,,,b,,h,c,c,h,,b,,,,,,,,w,,,,,,,,,,,,,,,w,w,,,,,,,w
w,,,,,,,b,,,c,c,,,b,,,,,,,,"o
",,,,,,,,,,,,,,,w,w,,,,,,,w
w,,,,,,,b,b,b,w,w,b,b,b,,,,,,,,"o
",,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,"o
",,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,"o
",,,,,,,,,,,,,,,,,,,,,ex,ex,w
w,,,,,,,,,,,,,,,,,,,,,,"o
",,,,,,,,,,,,,,,,,,,,,ex,ex,w
w,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,b,b,b,b,w
w,,,,,,,,,c,,c,,,,,,,,,,bw_3.14,b,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,w
w,p,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,w
w,,,"
",,,,,,,,,,,,,,,,c,,,b,w,w,w,,,e2u,e2d,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,w,w,w,w,w,f,f,f,f,f,f,f,f,f,f,f,f,,,c,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,bw_0,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,w,w,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,w,w,,,,,,,,,,,w
w,,,,,,,,,,,e2d,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,c,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,w,w,w,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,c,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,f,w,w,w,w,w,w,w,w,w,w,w
w,,,,,,,,,,,,,,w,w,w,,,,,,w,,,,,,,e2d,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
bw_0,,,,,,,h,,,,,,,,,,,,,,,w,w,w,w,w,w,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,bw_4.71,w,bw_4.71,w,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,mr,mr,mr,mr,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,portal,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,c,,,,,,,,c,,,w,,,,,,,,,,,,,,,,,,,,,,,bw_3.14
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,e2u,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,w,w,w,w,w,w
w,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,w
w,,,,,,,,,,,,,,,,,,,,,,w,,e3r,,,,,,,,,,,,,,,,,,,,,w
