,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,w,,,,,,,,,,,,,,,,,w,,w,,,,,,,,,,,,,,,,,,,,,,r,,b,b,,b,,b,,b,b,,b,,b,,b,,b,w,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,w,w
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,w,,,,,,,,,,,,,,,,,w,,f,,,,,,,,,,,,,,,,,,,,,,b,,b,,,,,b,,b,,,,,b,,b,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,w,,,,,,,,,,,,,,,,,w,,f,,,,,,,,,,,,,,,,,,,,,,b,,b,,,,,b,,b,,,,,b,,b,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,w,,,,,,,,,,,,,,,,,w,,f,,,,,,,,,,,,,,,,,,,,,,b,,b,,,,,b,,b,,,,,b,,b,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,w,,,,,,,,,,,,,,,,,w,,f,,,,,,,,,,,,,,,,,,,,,,b,,b,,,,,b,,b,,,,,b,,b,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,w,,,,,,,,,,,,,,,,,w,,f,,,,,,,,,,,,,,,,,,,,,,b,,b,,,,,b,,b,,,,,b,,b,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,w,,w,,,,,c,,,,,e3r,,,,,,,w,,f,,,,,,,,,,,,,,,,,,,,,,b,,b,,,,,b,,b,,,,,b,,b,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,b,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,w,,,,,,,,,,,,,,,,,w,,f,,,,,w,,,,,,,,,,,,,,,,,b,,b,,,,,b,,b,,,,,b,,b,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ex,ex
,,,,,,,,,,,,,,,,,b,b,b,b,b,,,,,,,md,,,,,,,w,,w,,,,,,,,,,,,,,,,,w,,f,,,,,w,,,,,,,,,,,,,,,,,b,,b,,,,,b,,b,,,,,b,,b,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ex,ex
,,,,,,,,,,,,,,,,,f,,,,w,,,,,,,md,,,,,,,w,,w,,,,,,,mu,,,,,c,,,,,w,,f,,,,,w,w,,,,,,,,,,,,,,,,b,c,b,,,,,b,c,b,,,,,b,c,b,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w
,,c,,,,,,,,,,,,,,,f,,,,w,,,,,,,md,,,,,,,w,,w,,,,,,,mu,,,,,,,,,,w,,f,,,,,w,w,,,,,,,,,,,,,,,,b,,b,,,,,b,,b,,,,,b,,b,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,w
,,,,,,,,,,,,,,,,,f,,,,w,,,,,,,md,,,,,,,w,,w,,,,,,,mu,,,,,,,,,,w,,f,,,,,w,,w,,,,,,,,,,,,,,,w,,w,w,w,w,w,w,,w,w,bw_1.57,w,w,w,,w,w,bw_1.57,w,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,w
,w,w,w,,,,,,,,,,,,,,f,,,,w,,,,,,,md,,,,,,,w,,w,,,,,,,mu,,,,,,,,,,w,,f,,,,,bw_4,,w,,,,,,,e3l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bw_3.93,,,,w
,,,,,,,e2u,,,,,,,,,,f,,,,w,,,,,,,md,,,,,,,b,,b,,,,,,,mu,,,,,,,,,,w,,f,,,,,w,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,w
,,,,,,,,,,,,c,,,,,f,,,,w,,,,,,,md,,,,,,,b,b,b,,,,,,,mu,,,,,,,,,,w,,f,,,,,w,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,w
,,,,,,,,,,,,,,,,,f,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,f,,,,,w,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bw_3.93,bw_3.94,,,,,,w
,,,,,,,,,,,w,w,w,,,,f,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,f,,,,,w,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,w
,,,,,,,,,,,,,,,,,w,,,,bw_0,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,w,,f,,,,,w,,,,w,w,w,w,w,w,w,,,,e2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,w
,,c,,,,,,,,,,,,,,,w,,,,w,,,,,,,,,,,,,,,,,,,,,,,f,,,f,,c,,,,,w,,f,,,,,bw_3.14,,,,w,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,w,,,,,,,,,,,,,,,,bw_3.93,,,,,,,,,,w
,,,,,,,e2d,,,,,,,,,,w,,,,w,,,,,,,,,,,,,,,,,,,,,,,f,,,f,,,,,,,w,,f,,,,,w,,,,w,,,,,,w,,,,,,,,f,,,,,,,f,,,,,,,f,,,,,,,,,,,,b,,,,,,,,,,,w,,,,,,,,,,,w
,w,w,w,w,,,,,,,,c,,,,,w,,,,w,,,,,,,,,,,,,,,,,,,,,,,b,,,b,,,,,,,w,,f,,,,,w,,,,w,,h,c,,,w,,,,,,,,f,,,,,,,f,,,,,,,f,,,,,,,,,,,,b,,,,,,,,,,w,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,w,,,,w,,,,,,,,,,,,,,,,,,,,,,,b,,,b,,,,,,,w,,f,,,,,w,,,,w,,c,h,,,w,,,,,,,,f,,,,,,,f,,,,,,,f,,,,,e1,,,,,,,b,,,,,,,,,bw_3.93,,,,,,,,,,,,,w
,,,,,,,,,,,w,w,w,,,,w,,,,w,,,,,,,,,,,,,,,,,,,,,,,b,,,b,,,,,,,w,w,w,,,,,w,,,,w,,h,c,,,w,,,,,,,,f,,,,,,,f,,,,,,,f,,,,,,,,,,,,b,,,,,,,,w,,,,,,,,,,,,,,w
